2023-11-21 14:31:50,308 INFO    MainThread:17593 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-21 14:31:50,309 INFO    MainThread:17593 [wandb_setup.py:_flush():76] Configure stats pid to 17593
2023-11-21 14:31:50,309 INFO    MainThread:17593 [wandb_setup.py:_flush():76] Loading settings from /Users/msandoval/.config/wandb/settings
2023-11-21 14:31:50,309 INFO    MainThread:17593 [wandb_setup.py:_flush():76] Loading settings from /Users/msandoval/py_projects/ias/ws2324/bai/nanoGPT/wandb/settings
2023-11-21 14:31:50,309 INFO    MainThread:17593 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-21 14:31:50,309 INFO    MainThread:17593 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-21 14:31:50,309 INFO    MainThread:17593 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/Users/msandoval/py_projects/ias/ws2324/bai/nanoGPT/train.py', 'program': '/Users/msandoval/py_projects/ias/ws2324/bai/nanoGPT/train.py'}
2023-11-21 14:31:50,309 INFO    MainThread:17593 [wandb_init.py:_log_setup():524] Logging user logs to /Users/msandoval/py_projects/ias/ws2324/bai/nanoGPT/wandb/run-20231121_143150-qoyfazrp/logs/debug.log
2023-11-21 14:31:50,309 INFO    MainThread:17593 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/msandoval/py_projects/ias/ws2324/bai/nanoGPT/wandb/run-20231121_143150-qoyfazrp/logs/debug-internal.log
2023-11-21 14:31:50,309 INFO    MainThread:17593 [wandb_init.py:init():564] calling init triggers
2023-11-21 14:31:50,310 INFO    MainThread:17593 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'out_dir': 'out-multi', 'eval_interval': 1000, 'log_interval': 10, 'eval_iters': 200, 'eval_only': False, 'always_save_checkpoint': True, 'init_from': 'gpt2', 'wandb_log': 'multiplication-log', 'wandb_project': 'multiplication-char', 'wandb_run_name': 'gpt2_124m', 'dataset': 'multiplication', 'gradient_accumulation_steps': 40, 'batch_size': 12, 'block_size': 1024, 'n_layer': 12, 'n_head': 12, 'n_embd': 768, 'dropout': 0.0, 'bias': False, 'learning_rate': 0.0006, 'max_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'min_lr': 6e-05, 'backend': 'nccl', 'device': 'cpu', 'dtype': 'float16', 'compile': False}
2023-11-21 14:31:50,310 INFO    MainThread:17593 [wandb_init.py:init():614] starting backend
2023-11-21 14:31:50,310 INFO    MainThread:17593 [wandb_init.py:init():618] setting up manager
2023-11-21 14:31:50,311 INFO    MainThread:17593 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-11-21 14:31:50,313 INFO    MainThread:17593 [wandb_init.py:init():624] backend started and connected
2023-11-21 14:31:50,321 INFO    MainThread:17593 [wandb_init.py:init():716] updated telemetry
2023-11-21 14:31:50,375 INFO    MainThread:17593 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-21 14:31:51,047 INFO    MainThread:17593 [wandb_run.py:_on_init():2254] communicating current version
2023-11-21 14:31:51,478 INFO    MainThread:17593 [wandb_run.py:_on_init():2263] got version response 
2023-11-21 14:31:51,478 INFO    MainThread:17593 [wandb_init.py:init():800] starting run threads in backend
2023-11-21 14:31:51,591 INFO    MainThread:17593 [wandb_run.py:_console_start():2233] atexit reg
2023-11-21 14:31:51,591 INFO    MainThread:17593 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-21 14:31:51,592 INFO    MainThread:17593 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-21 14:31:51,592 INFO    MainThread:17593 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-21 14:31:51,593 INFO    MainThread:17593 [wandb_init.py:init():841] run started, returning control to user process
2023-11-21 14:57:41,627 WARNING MsgRouterThr:17593 [router.py:message_loop():77] message_loop has been closed
